change|n.改变,变化,转变,找回的零钱,找头,辅币vt.改变,变革,改造,兑换
jdk|null
newly|adv.重新,最近,以新的方式
numerically|用数字,在数字上
bytevalue|null
doublevalue|null
intvalue|null
floatvalue|null
documentation|n.文件
longvalue|null
hexdigits|null
tohexstring|null
shortvalue|null
correct|adj.正确的,恰当的,端正的vt.改正,纠正,告诫,惩戒
bitcount|null
tobinarystring|null
lowestonebit|null
developer|null
obj|null
anotherinteger|null
implement|n.工具,器具vt.贯彻,实现v.执行
extend|v.扩充,延伸,伸展,扩大[军]使疏开,给予,提供,演化出的全文,<英>[律]对(地产等)估价
package|n.包裹,包
boolean|null
op|null
log|n.航行日志,原木,园形木材,园木v.把...记入航行日志,伐木,把...锯成段
javatm|null
minimum|adj.最小的,最低的n.最小值,最小化
decimalnumeral|null
thrown|null
hashtable|null
feature|n.面貌的一部分(眼,口,鼻等)特征,容貌,特色,特写vt.是...的特色,特写,放映vi.起重要作用
clone|n.无性系,无性繁殖,克隆v.无性繁殖,复制
whitespace|null
ceil|vt.装天花板,装船内格子板
serialized|null
api|null
frequently|adv.常常,频繁地n.经常地
bug|n.小虫,臭虫v.装置窃听器,打扰
specifier|null
char|v.烧焦
jr|null
inc|null
sdk|null
addison|null
se|null
comparison|n.比较,对照,比喻,比较关系
dealing|n.行为,交易
hacker|电脑黑客
allocation|n.分配,安置
notify|v.通报
serializable|null
getclass|null
target|n.目标,对象,靶子
specification|n.详述,规格,说明书,规范
final|n.结局,决赛,期末考试,<口>报纸(在一天中)最晚版adj.最后的,最终的,决定性的
hash|n.无用信息,杂乱信号,复述vt.切细,搞糟,推敲n.无用信息,杂乱信号
weena|null
morlocks|null
lit|null
ruin|v.(使)破产,(使)堕落,毁灭n.毁灭,崩溃,废墟,遗迹
dim|adj.暗淡的,模糊的,无光泽的,悲观的,怀疑的vt.使暗淡,使失去光泽n.<美俚>笨蛋、傻子
peculiar|adj.奇特的,罕见的,特殊的n.特有财产,特权
glare|n.眩目的光,显眼,怒目而视,(冰等的表面)光滑的表面v.闪耀
pale|n.栅栏,界线,范围,(围篱用的)尖板条adj.苍白的,暗淡的,无力的vi.变苍白,失色vt.使变苍白,使失色,用栅栏围
drove|vbl.drive的过去式n.畜群
shiver|v.颤抖,打碎,碎裂n.(无法控制的)颤抖,碎片
convey|vt.搬运,传达,转让
eloi|null
south|n.南部,南adj.南的,南方的adv.在南方,向南方
hastily|adv.急速地,轻率地,慌忙地,草率地
spread|n.伸展,展开,传播,蔓延,酒席,宴会,桌布v.伸展,展开,铺,涂,敷,摆,传播,散布
valley|n.(山)谷,流域
splendid|adj.壮丽的,辉煌的,极好的
gesture|n.姿态,手势,表示v.作手势,以手势表示
perceive|vt.察觉v.感知,感到,认识到
mystery|n.神秘,神秘的事物
retreat|vi.撤退,退却n.撤退,退却
machinery|n.[总称]机器,机械
difference|n.差异,差别,分歧,争论,[数]差额,差分adj.[数]微分的,[机]差动的
dawn|n.黎明,拂晓,破晓vi.破晓,开始现生,变得(为人所)明白v.破晓
disease|n.疾病,弊病
circumstance|n.环境,详情,境况
probably|adv.大概,或许
risk|vt.冒...的危险n.冒险,风险
coat|n.外套,(动物的)皮毛,(植物的)表皮,(漆等的)层,涂层vt.涂上,包上
eastward|adv.向东adj.向东的,朝东的
explore|v.探险,探测,探究
north|n.北,北方,北部adj.北,北方的adv.在北方,向北方
cigar|n.雪茄
clue|n.线索
salt|n.食盐,风趣,刺激adj.含盐的,咸的,风趣的,辛辣的vt.加盐于,用盐腌
rail|n.横杆,围栏,扶手,铁轨vt.以横木围栏,铺铁轨vi.责骂,抱怨
rain|n.雨,下雨,雨天vi.下雨vt.使大量落下,大量地给
putting|null
latter|adj.后面的,(两者中)后者的,较后的,近来的
curiosity|n.好奇心
east|n.东方,东,东部地区adj.东方的,从向东来的adv.在东方,向东方,朝东方
curtain|n.窗帘,门帘v.装上门帘
morlock|null
stoop|n.弯腰,屈背,屈服vi.弯下,弯下上身,屈服,弯腰,堕落vt.俯曲,辱没
balance|n.秤,天平,平衡,[商]收支差额,结余,余额v.平衡,称,权衡,对比,结算n.资产平稳表
smash|v.打碎,粉碎n.打碎,粉碎adj.出色的
westward|n.西方,西部,向西旅行adj.西方的,向西的adv.向西
serious|adj.严肃的,认真的,严重的
jar|n.震动,刺耳声,震惊,争吵,罐,广口瓶vi.震惊,冲突,发刺耳声,不一致vt.震动,刺激
Friday|n.星期五
dimness|null
mechanical|adj.机械的,机械制的,机械似的,呆板的
recall|vt.回忆,回想,记起,取消n.召回
puzzle|n.难题,谜v.(使)迷惑,(使)为难,迷惑不解
scientific|adj.科学的
railway|n.[英]铁道,铁路
pink|n.粉红色,石竹花,化身,极致,精华adj.粉红的vt.刺,扎,刺痛,使变粉红色vi.变粉红色
dusty|adj.满是灰尘的,积满灰尘的,粉末状的,含糊的
backward|adv.adj.向后地(的),相反地(的),追溯,退步,由好变坏
courage|n.勇气,精神
labour|n.劳动,劳力,劳工,努力,分娩,工作v.劳动,苦干,费力地前进,分娩,工作,悉心完成
miss|n.过错,避免,失败,小姐,姑娘vt.未得到,未达到,未听到,思念,未觉察,错过,遗漏,逃脱vi.失败,击不中
blacken|v.使变黑,诽谤变黑
widening|加宽,扩展
deeper|null
sex|n.性别,男性或女性,性欲,<口>性交,<俚>生殖器,阴茎vt.区别...的性别,引起...的性欲
organization|n.组织,机构,团体
score|n.得分,乐谱,抓痕,二十,终点线,刻痕,帐目,起跑线vt.把...记下,刻划,划线,获得,评价vi.记分,刻痕,得分
structure|n.结构,构造,建筑物vt.建筑,构成,组织
emotion|n.情绪,情感,感情
hammer|n.铁锤,槌,锤子v.锤击,锤打
appreciate|vt.赏识,鉴赏,感激vi.增值,涨价
swept|vbl.sweep的过去式和过去分词adj.[电子]扫频的
bleach|v.漂白,变白
angle|n.[数]角,角落vi.钓鱼,追逐
unreal|adj.不真实的,虚幻的
tight|adj.紧的,绷紧的,紧密的,不漏水(不透气)的,由压迫产生的,困难的,吝啬的,严厉的adv.紧紧地
cube|n.立方体,立方
kiss|n.吻,(风,浪等)拂vt.吻,轻拂vi.接吻
cheerfully|null
prove|vt.证明,证实,检验,考验vi.原来(是),证明(是)
science|n.科学,自然科学,理科
argue|vi.争论,辩论vt.说服
thunderstorm|n.[气]雷暴
downward|adj.向下的
aloud|adv.大声地
trap|n.圈套,陷阱,诡计,活板门,存水弯,汽水闸,(双轮)轻便马车vi.设圈套,设陷阱vt.诱捕,诱骗,计捉,设陷,坑害,使受限制
childish|adj.孩子气的,幼稚的
everywhere|adv.各处,到处
balloon|n.气球
stillness|n.静止,沉静
eastern|adj.东方的,东部的
twinkling|adj.闪烁的,闪亮的,荧荧的n.闪烁,闪动,转瞬
extremely|adv.极端地,非常地
smell|n.气味,臭味,嗅觉v.嗅,闻到,散发(...的)气味,有(...的)气味
awake|vi.醒,觉醒,领会,觉悟vt.唤醒adj.警觉的,醒的
advanced|adj.高级的,年老的,先进的
deadly|adj.致命的,势不两立的,死一般的,极度的,必定的
meet|n.会,集会adj.适宜的,合适的vt.遇见,(迎)接,与(某人目光)相遇,(赴约)和...会面,(经介绍)与...相识,对付vi.相遇,接触
quality|n.质量,品质,性质
judgment|n.判断
architecture|n.建筑,建筑学体系机构
leisure|n.空闲,闲暇,悠闲,安逸
horse|n.马,[总称]骑兵,脚架,马力vi.骑马,作弄人vt.使骑马,系马于
incapable|adj.无能力的,不能的
truly|adv.真实地,不假
intellect|n.智力
unreasonable|adj.不讲道理的,不合理的,过度的,不切实际的
countless|adj.无数的,数不尽的
hint|n.暗示,提示,线索
worker|n.工人
orange|n.柑,桔,橙,橙色
industry|n.工业,产业,行业,勤奋
satisfaction|n.满意,满足,令人满意的事物
overcome|vt.战胜,克服,胜过,征服vi.得胜
heal|v.治愈,医治,结束
nineteenth|num.第十九,十九分之一
oil|n.油,石油,油类vt.给(机器等)加油,上油,涂油
shy|adj.怕羞的,畏缩的,害羞的
rocket|n.火箭v.飞速上升
awful|adj.可怕的,威严的,<口>极度的,糟糕的
ourselves|pron.我们自己
wine|n.葡萄酒,酒
atmosphere|n.大气,空气,气氛
threw|vbl.throw的过去式
brush|n.刷子,毛刷,画笔vt.刷,掸,拂
safety|n.安全,保险,安全设备,保险装置
patient|n.病人,患者adj.忍耐的,耐心的
xi|null
eighteen|adj.十八的,十八个的
oldtime|null
somewhere|adv.某处,在某处
happily|adv.幸福地,愉快地,恰当地,幸亏
welcome|n.欢迎vt.欢迎int.欢迎adj.受欢迎的
lake|n.湖
nation|n.国家,民族
helpful|adj.有帮助的,有用的,有益的
toy|n.玩具
insect|n.昆虫,卑鄙的人adj..虫的,虫子一样的,对付虫子的
tin|n.[化]锡,马口铁,罐vt.涂锡于adj.锡制的
summer|n.夏季vi.避暑,过夏天adj.夏季的,在夏季的
iv|null
ix|null
fright|n.惊骇,吃惊
fiftieth|num.第五十,五十分之一
train|n.火车,列车,行列,后果,顺序,长队,长袍(裙)拖地的部分,导火线vt.训练,培养,瞄准,(园艺)整枝vi.锻炼
atom|n.原子
milky|adj.牛奶的,乳状的,乳白色的
whiten|vt.使白,变白,刷白,漂白vi.变白
deal|n.交易,(政治上的)密约,待遇,份量,<口>买卖vi.处理,应付,做生意vt.分配,分给(out),发牌,给予
aware|adj.知道的,明白的,意识到的
engine|n.发动机,机车,火车头
chemical|adj.化学的n.化学制品,化学药品n.化学药品
store|vt.贮藏,贮备,存储n.商店,店铺,贮藏,贮备
hesitation|n.犹豫,踌躇
sickness|n.疾病,呕吐
gun|n.炮,枪,<美>手枪,油门vi.用枪射击,用枪打猎,加大油门快速前进vt.向...开枪,开大(引擎、汽车)的油门
monkey|n.猴子
belief|n.信任,信心,信仰
sweat|n.汗v.(使)出汗
football|n.足球,橄榄球
tire|n.<口>疲劳,劳累,轮胎,头饰vt.使疲倦,使厌烦,梳理vi.疲劳,厌倦
pen|n.钢笔,围栏,围圈,作家vt.写,关入栏中
everyone|pron.每个人,人人
sixth|num.第六,六分之一
coal|n.煤v.加煤
ninety|num.九十
clap|n.拍手声,霹雳声v.鼓掌,轻拍
Africa|n.非洲
wire|n.金属丝,电线,电报,电信,铁丝网vt.用金属丝卷起,拍电报vi.打电报adj.金属丝制的
boss|n.老板,上司vt.指挥
photograph|n.照片
egg|n.蛋,鸡蛋,卵v.怂恿,怂恿
fortunate|adj.幸运的,幸福的
culture|n.文化,文明
scientist|n.科学家
noon|n.中午
rust|n.铁锈vt.(使)生锈
equip|vt.装备,配备,训练,准备行装
comfortable|adj.舒适的
seventeen|num.十七n.十七个
ink|n.墨水
fifteen|adj.十五
forty|num.四十,40n.四十岁
ash|n.灰,灰烬,[植]岑树
xii|null
sunrise|n.日出
writer|n.作者,作家,复写器
dirt|n.污垢,泥土
floury|adj.粉状的,因粉变白的
eclipse|n.食,日蚀,月蚀,蒙蔽,衰落vt.引起日蚀,引起月蚀,超越,使黯然失色
org|null
ui|null
workspace|null
vm|null
ant|n.蚂蚁
build|v.建造,建筑n.构造,体格,体形
pde|null
jdt|null
release|n.释放,让渡,豁免,发行的书,释放证书vt.释放,解放,放弃,让与,免除,发表n.版本,发布
bundle|n.捆,束,包v.捆扎
launch|n.下水,汽艇,发射,发行,投放市场vt.使(船)下水,掷(标枪等),发射(导弹、火箭等),开办,发动,发起vi.起飞,下水,投入,开始
cvs|null
debug|vt.<俗>除错,改正有毛病部分,除去窃听器v.调试[计]调试工具
swt|null
runtime|null
earlier|null
jvm|null
folder|n.文件夹,折叠器,折叠机,折叠式印刷品
metadata|null
linux|null
menu|n.菜单
apache|null
workbench|null
browser|n浏览器,吃嫩叶的动物,浏览书本的人
gtk|null
oracle|n.[宗](古希腊)神谕,预言,神谕处,神使,哲人,圣贤美国ORACLE公司,主要生产数据库产品,也是主要的网络计算机的倡导者
crash|n.碰撞,坠落,坠毁,撞击声,爆裂声v.碰撞,坠落,坠毁,(指商业公司,政府等)破产,垮台
non|null
startup|null
load|n.负荷,重担,装载量,工作量,负载,加载vt.装载,装填,使担负vi.装货,装弹药，装料
upgrade|n.升级,上升,上坡adv.往上vt.使升级,提升,改良品种
mac|null
debugger|null
jre|null
export|vt.输出n.出口货,输出,出口,出口商品v.出口
team|n.队,组
ini|null
document|n.公文,文件,文档,档案,文献v.证明
property|n.财产,所有物,所有权,性质,特性,(小)道具
issue|n.出版,发行,(报刊等)期、号,论点,问题,结果,(水,血等的)流出vi.发行,流出,造成...结果,进行辩护,传下vt.使流出,放出,发行(钞票等),发布(命令),出版(书等)发给[律]子女,后嗣
evaluation|n.估价,评价,赋值
extension|n.延长,扩充,范围n.扩展名adj.[逻]外延的,客观现实的
dialog|n.(dialogue)会话,对话
proxy|n.代理人
properly|null
compile|vt.编译,编辑,汇编
filter|n.滤波器,过滤器,滤光器,筛选vt.过滤,渗透,用过滤法除去vi.滤过,渗入,(消息等)走漏,慢慢传开
gcj|null
loader|null
builder|n.建筑者,施工人员,营造商,增洁剂
vmargs|null
compiler|null
vms|null
shortcut|n.捷径
breakpoint|null
installation|n.[计]安装,装置,就职
desktop|n.[计]桌面桌上型电脑
script|n.手稿,手迹,剧本,考生的笔试卷,原本
win|v.(获)胜,赢得,劝诱,取得胜利n.赢,胜利
capability|n.(实际)能力,性能,容量,接受力
executable|null
void|n.空间,空旷,空虚,怅惘adj.空的,无人的,空闲的,无效的,无用的,没有的
workspaces|null
sr|null
explorer|[计]Windows资源管理器n.探险家,探测者,探测器
typically|null
jnienv|null
ide|null
classloader|null
scrapbook|null
comment|n.注释,评论,意见vi.注释,评论
findclass|null
ubuntu|null
doc|null
javax|null
junit|null
config|null
plugins|null
launcher|null
xx|null
external|adj.外部的,客观的,[医]外用的,外国的,表面的n.外部,外面
ensure|vt.保证,担保,使安全,保证得到v.确保,确保,保证
upwards|adv.以上,向上
internet|null
jni|null
pointer|n.指示器
css|null
macos|null
classpath|null
exe|null
plugin|null
xmx|null
databinding|null
datatreenode|null
manually|null
functionality|null
constant|n.[数、物]常数,恒量adj.不变的,持续的,坚决的
unzipping|null
javadoc|null
dtree|null
forwarddeltawith|null
formatter|null
osgi|null
codeformatter|null
older|null
debugging|null
selection|n.选择,挑选,选集,精选品
attachcurrentthread|null
toolbars|null
err|vi.犯错,做错,犯罪,[废]走上歧途
emf|null
offline|null
typical|adj.典型的,象征性的
mid|adj.中央的,中部的,中间的
ole|null
bidi|null
binding|n.装订,捆绑,捆绑物,粘合物
di|null
workarounds|null
javavm|null
writable|null
invalid|n.病人,残废者adj.有病的,残废的
faq|null
breakpoints|null
connect|v.连接,联合,关连
lan|null
xdoclet|null
jdi|null
communication|n.传达,信息,交通,通讯
navigator|null
jface|null
jsch|null
evaluate|vt.评价,估计,求...的值v.评价
creation|n.创造,创作物
callback|null
util|null
unzip|null
io|null
megabytes|null
conf|null
inner|adj.内部的,里面的,内心的n.内部
download|null
ssh|null
icon|n.图标,肖像,偶像
Latin|n.拉丁文,拉丁语,拉丁语族的adj.拉丁文的,拉丁语的,拉丁人的
container|n.容器(箱,盆,罐,壶,桶,坛子),集装箱
hotspot|null
attribute|n.属性,品质,特征,加于,归结于
felix|null
gogo|null
solaris|null
visibility|n.可见度,可见性,显著,明显度,能见度
gz|null
multi|null
downloads|null
popup|null
ds|null
intro|null
externaltools|null
el|null
buildfiles|null
classnotfoundexception|null
finder|null
xxmaxpermsize|null
permgen|null
httpcomponents|null
desire|vt.想望,期望,希望,请求(官方丈礼)n.愿望,心愿,要求v.要求
marvel|n.奇迹v.大为惊异,觉得惊奇
bottle|n.瓶子vt.用瓶装
hat|n.帽子vt.戴帽子
chapter|n.(书籍)章
upstairs|adv.向楼上,在楼上,上楼adj.楼上的
policeman|n.警察
downstairs|adv.在楼下,往楼下,下楼
kitchen|n.厨房,炊具,炊事人员
inn|n.(尤指乡村或公路边的)旅馆,客栈vi.住旅馆
flung|v.fling的过去式及过去分词
shut|v.关上,闭上,关闭
boot|n.<美>(长统)靴,靴子v.导入
slam|v.砰地关上,砰地放下,猛力抨击,冲击n.砰,猛击,撞击,冲击
bolt|n.门闩,螺钉,闪电,跑掉v.上门闩,囫囵吞下,逃跑
unseen|null
hit|n.打击,打,碰撞,讽刺,(演出等)成功vt.打,打击,碰撞,击中,袭击,偶然发现,伤...的感情,找到vi.打,打中,打击,碰撞,偶然碰上
lord|n.封建领主,地主,统治者,[宗]上帝vi.称王称霸,作威作福vt.使成贵族
staircase|n.楼梯
scream|v.尖声叫,尖声喊叫n.尖叫声,喊叫声
sleeve|n.袖子
invisibility|n.看不清,看不见的东西,难看见
powder|n.粉,粉末,火药,尘土vt.搽粉于,撒粉,使成粉末vi.搽粉,变成粉末
aside|adv.在旁边,到旁边
ordinary|adj.平常的,普通的,平凡的n.[律]推事,<英>[宗]罪犯的忏悔牧师
passage|n.通过,经过,通道,通路,(一)段,(一)节
nerve|n.神经,胆量,勇气,叶脉vt.鼓起勇气
extraordinary|adj.非常的,特别的,非凡的,特派的
sniff|v.用力吸,嗅,闻到,发觉,轻视,用力吸气n.吸,闻,吸气声,嗤之以鼻
glove|n.手套vt.戴手套
counter|n.计算器,计数器,计算者,柜台,筹码adv.prep.相反地
couple|n.(一)对,(一)双,夫妇vt.连合,连接,结合vi.结合,结婚
en|null
devil|n.魔鬼,恶棍
gas|n.气体,煤气,毒气,汽油,[矿]瓦斯abbr.[军]GunnersAuxiliary-Sight,炮长辅助瞄准镜
someone|pron.有人,某人
stuff|n.原料,材料,素材资料vt.塞满,填满,填充
transparent|adj.透明的,显然的,明晰的
headlong|adv.头向前地,轻率地
march|n.行军,步伐,进行曲vi.进军,前进vt.使行军,使行进n.(March)三月(略作Mar)
advantage|n.优势,有利条件,利益
chase|n.追赶,追击vt.追赶,追逐,雕镂
police|n.警察队,警察机关,公安部门vt.管辖,维持治安adj.警察的,有关警察的
resumed|恢复
stair|n.(阶梯的某)一级,楼梯
